CSDL chứa thông tin về đối tượng nào?,Một tổ chức
Chọn đáp án đúng:,CSDL được tổ chức lưu trữ trên bộ nhớ ngoài
Hệ QTCSDL là:,"Phần mềm ứng dụng có thể tạo lập, cập nhât và khai thác CSDL"
Chức năng của hệ QTCSDL là:,"Cung cấp môi trường tạo lập CSDL; cung cấp môi trường cập nhật và khai thác CSDL; công cụ kiểm soát, điều khiển việc truy cập vào CSDL."
Dữ liệu nào sau đây KHÔNG là một CSDL của một tổ chức?,Tệp văn bản
"Trong vai trò của con người khi làm việc với các hệ CSDL, người thiết kế và cấp phát quyền truy cập cơ sở dữ liệu, là: ",Người quản trị cơ sở dữ liệu              
"Để quản lí học sinh của trường THPT, công việc nào sau đây không thuộc khai thác dữ liệu:",Bổ sung danh sách các bạn học sinh mới chuyển đến.
Khai thác hồ sơ gồm những công việc nào?,"Sắp xếp, tìm kiếm, báo cáo, thống kê hệ thống"
"Khi làm việc với hệ thống CSDL, con người có những trò chơi nào?","QTCSDL người, người lập trình, người dùng"
"Trong Access, muốn tạo một cơ sở dữ liệu mới, chúng ta thực hiện như thế nào?",Tệp / Mới…
"Trong Access, ta có thể sử dụng biểu mẫu để thực hiện công việc gì?","Xem, nhập và sửa dữ liệu"
CSDL data được lưu ở đâu?,Table
Công việc thường gặp khi xử lí thông tin của một tổ chức là gì?,"Tạo lập, cập nhật, khai thác hồ sơ"
Em hiểu như thế nào về cụm từ  “Hệ quản trị cơ sở dữ liệu”?,Hệ quản trị cơ sở dữ liệu là một loại phần mềm máy tính
Cơ sở dữ liệu (CSDL) là:,Tập hợp dữ liệu có liên quan với nhau theo một chủ đề nào đó được lưu trên máy tính điện tử để đáp ứng nhu cầu khai thác thông tin của nhiều người.
Hoạt động nào sau đây có sử dụng CSDL?,Bán vé máy bay,Bán hàng có quy mô,Quản lý học sinh trong nhà trường
Hãy nêu các ưu điểm khi sử dụng CSDL trên máy tính điện tử:,"Gọn, thời sự, nhanh chóng, nhiều nguời có thể sử dụng chung CSDL"
Khai thác hồ sơ gồm có những việc chính nào?,"Sắp xếp, tìm kiếm","Thống kê, lập báo cáo"
"Xét tệp lưu trữ hồ sơ học bạ của học sinh, trong đó lưu trữ điểm tổng kết của các môn Văn, Toán, Lí, Sinh, Sử, Địa. Những việc nào sau đây không thuộc thao tác tìm kiếm?",Tìm học sinh có điểm trung bình sáu môn cao nhất
Những khẳng định nào sau đây là sai?,Tìm kiếm là việc tra cứu các thông tin không có sẵn trong hồ sơ thỏa mãn một số điều kiện nào đó
Một hệ quản trị CSDL không có chức năng nào trong các chức năng dưới đây?,Cung cấp công cụ quản lí bộ nhớ
Ngôn ngữ định nghĩa dữ liệu thực chất là:,Hệ thống các kí hiệu để mô tả CSDL
Ngôn ngữ định nghĩa dữ liệu bao gồm các lệnh cho phép:,"Khai báo kiểu dữ liệu, cấu trúc dữ liệu và các ràng buộc trên dữ liệu của  CSDL"
Ngôn ngữ CSDL được sử dụng phổ biến hiện nay là:,Access
Khẳng định nào sau đây là đúng?,"Hệ QT CSDL hoạt động độc lập, không phụ thuộc vào hệ điều hành"
Công việc nào không thuộc bước THIẾT KẾ khi xây dựng một CSDL?,"Xác định các dữ liệu cần lưu trữ, phân tích mối liên hệ giữa chúng;"
Những điều khẳng định nào sau đây là SAI?,"Hệ QT CSDL hoạt động độc lập, không phụ thuộc vào hệ điều hành;","Hệ QT CSDL đóng vai trò là chương trình dịch cho ngôn ngữ CSDL;"
NHỮNG NGƯỜI CÓ NHU CẦU KHAI THÁC THÔNG TIN TỪ CSDL ĐƯỢC GỌI LÀ...,Người dùng
NHỮNG NGƯỜI CÓ NHIỆM VỤ XÂY DỰNG CÁC CHƯƠNG TRÌNH ỨNG DỤNG HỖ TRỢ KHAI THÁC THÔNG TIN TỪ CSDL TRÊN CƠ SỞ CÁC CÔNG CỤ MÀ HỆ QTCSDL CUNG CẤP ĐƯỢC GỌI LÀ...,Người lập trình ứng dụng
NHỮNG NGƯỜI ĐƯỢC TRAO QUYỀN ĐIỀU HÀNH HỆ CSDL ĐƯỢC GỌI LÀ...,Người quản trị CSDL
Đâu không là công việc thường gặp khi xử lí thông tin của một tổ chức là gì?,Khảo sát
Đâu là công việc khi tạo lập hồ sơ?,Xác định cấu trúc hồ sơ.
Đâu là công việc cần xử lí khi có HS mới từ nơi khác chuyển đến hoặc HS bị sai thông tin,Cập nhật hồ sơ
Dữ liệu trong một CSDL được lưu trong:,Bộ nhớ ngoài
Việc xác định cấu trúc hồ sơ được tiến hành vào thời điểm nào?,Trước khi nhập hồ sơ vào máy tính
Việc nào sau đây không thuộc nhóm thao tác khai thác hồ sơ?,Xóa một hồ sơ
"Đâu là công việc cần xử lí khi GV muốn thống kê số học sinh đạt từ 8.0 trở lên các môn toán, văn.",Khai thác hồ sơ
Một Hệ CSDL gồm:,"CSDL, hệ QTCSDL và khai thác CSDL đó."
Một hệ quản trị CSDL không có chức năng nào trong các chức năng dưới đây?,Cung cấp công cụ quản lí bộ nhớ
